DECDEG_ENDLAT,DECDEG_ENDLON,BEGIN_GMT_TOWDATE,BOTSALIN,BOTTEMP,EXPCATCHNUM_log,EXPCATCHWT_log,SURFSALIN,SURFTEMP,curl_stress_curl,fsle_fsle_max,glorys_bottomT_surface,glorys_mlotst_surface,glorys_thetao_surface,glorys_thetao_surface_grad,glorys_so_surface
42.357,-66.66644,05/06/2025 12:38:48,,,0.47712125471966244,-1.853871964321762,,,1.0325712044799813e-07,-0.18659411050654096,8.373071716754895,10.72452226150581,7.397921342715442,0.014350753335963385,32.391202647954024
42.357,-66.66644,05/06/2025 12:38:48,,,0.0,0.01619735351243906,,,1.0325712044799813e-07,-0.18659411050654096,8.373071716754895,10.72452226150581,7.397921342715442,0.014350753335963385,32.391202647954024
42.357,-66.66644,05/06/2025 12:38:48,,,0.0,0.7909884750888159,,,1.0325712044799813e-07,-0.18659411050654096,8.373071716754895,10.72452226150581,7.397921342715442,0.014350753335963385,32.391202647954024
42.357,-66.66644,05/06/2025 12:38:48,,,0.9030899869919435,1.2460059040760292,,,1.0325712044799813e-07,-0.18659411050654096,8.373071716754895,10.72452226150581,7.397921342715442,0.014350753335963385,32.391202647954024
42.357,-66.66644,05/06/2025 12:38:48,,,0.0,-0.4841261562883209,,,1.0325712044799813e-07,-0.18659411050654096,8.373071716754895,10.72452226150581,7.397921342715442,0.014350753335963385,32.391202647954024
42.357,-66.66644,05/06/2025 12:38:48,,,0.3010299956639812,0.893206753059848,,,1.0325712044799813e-07,-0.18659411050654096,8.373071716754895,10.72452226150581,7.397921342715442,0.014350753335963385,32.391202647954024
42.357,-66.66644,05/06/2025 12:38:48,,,0.47712125471966244,-0.7166987712964503,,,1.0325712044799813e-07,-0.18659411050654096,8.373071716754895,10.72452226150581,7.397921342715442,0.014350753335963385,32.391202647954024
42.357,-66.66644,05/06/2025 12:38:48,,,0.0,-0.5058454059815571,,,1.0325712044799813e-07,-0.18659411050654096,8.373071716754895,10.72452226150581,7.397921342715442,0.014350753335963385,32.391202647954024
42.357,-66.66644,05/06/2025 12:38:48,,,0.0,-0.37882371822496486,,,1.0325712044799813e-07,-0.18659411050654096,8.373071716754895,10.72452226150581,7.397921342715442,0.014350753335963385,32.391202647954024
42.357,-66.66644,05/06/2025 12:38:48,,,1.5314789170422551,1.338097753706539,,,1.0325712044799813e-07,-0.18659411050654096,8.373071716754895,10.72452226150581,7.397921342715442,0.014350753335963385,32.391202647954024
42.357,-66.66644,05/06/2025 12:38:48,,,1.3617278360175928,1.044696517110194,,,1.0325712044799813e-07,-0.18659411050654096,8.373071716754895,10.72452226150581,7.397921342715442,0.014350753335963385,32.391202647954024
42.357,-66.66644,05/06/2025 12:38:48,,,0.0,-2.3010299956639813,,,1.0325712044799813e-07,-0.18659411050654096,8.373071716754895,10.72452226150581,7.397921342715442,0.014350753335963385,32.391202647954024
42.357,-66.66644,05/06/2025 12:38:48,,,0.3010299956639812,0.24004977211264766,,,1.0325712044799813e-07,-0.18659411050654096,8.373071716754895,10.72452226150581,7.397921342715442,0.014350753335963385,32.391202647954024
42.357,-66.66644,05/06/2025 12:38:48,,,0.0,-1.8239087409443189,,,1.0325712044799813e-07,-0.18659411050654096,8.373071716754895,10.72452226150581,7.397921342715442,0.014350753335963385,32.391202647954024
42.357,-66.66644,05/06/2025 12:38:48,,,,-0.08671609823958155,,,1.0325712044799813e-07,-0.18659411050654096,8.373071716754895,10.72452226150581,7.397921342715442,0.014350753335963385,32.391202647954024
42.357,-66.66644,05/06/2025 12:38:48,,,1.146128035678238,1.344588742578714,,,1.0325712044799813e-07,-0.18659411050654096,8.373071716754895,10.72452226150581,7.397921342715442,0.014350753335963385,32.391202647954024
